ReturnID,OrderID,ProductID,CustomerID,StoreID,ReturnReason,ReturnDate,RefundAmount,ReturnStatus,ProductName,Category,Return_Count,Unnamed: 0,stale_returns,stale_refund,damaged_returns,damaged_refund,total_returns,total_returns_amount
17794,12794,1011,15794,2075,Stale Product,33:03.4,300,Processed,Bananas (12 pcs),Fruits,19,75,4,833,0,0,4,833
13898,8898,1030,11898,2050,Damaged Item,43:03.4,875,Processed,Johnson's Baby Powder 400g,Personal Care,22,50,4,1910,0,0,4,1910
17271,12271,1012,15271,2056,Damaged Item,13:03.4,360,Processed,Saffola Gold Oil 1L,Grocery,17,56,7,3594,0,0,7,3594
12959,7959,1028,10959,2050,Stale Product,23:03.4,600,Processed,Catch Black Pepper 100g,Grocery,12,50,4,1910,0,0,4,1910
13863,8863,1024,11863,2016,Stale Product,21:03.4,1125,Processed,Bournvita 500g,Beverages,29,16,10,5503,0,0,10,5503
13221,8221,1038,11221,2094,Stale Product,08:03.4,450,Processed,Coca-Cola 2L,Beverages,15,94,4,1029,0,0,4,1029
16430,11430,1050,14430,2068,Damaged Item,36:03.4,297,Processed,Dabur Red Toothpaste 200g,Personal Care,12,68,1,170,0,0,1,170
10730,5730,1031,8730,2060,Damaged Item,44:03.4,650,Processed,Himalaya Face Wash 100ml,Personal Care,19,60,7,2869,0,0,7,2869
17110,12110,1002,15110,2037,Stale Product,19:03.4,40,Processed,Mother Dairy Curd 400g,Dairy,17,37,7,1860,0,0,7,1860
13281,8281,1022,11281,2039,Stale Product,03:03.4,320,Processed,Fortune Sunflower Oil 1L,Grocery,20,39,5,3560,0,0,5,3560
16754,11754,1023,14754,2010,Stale Product,07:03.4,675,Processed,Haldiram's Bhujia 400g,Snacks,23,10,10,5120,0,0,10,5120
17463,12463,1015,15463,2009,Damaged Item,47:03.4,345,Processed,Colgate Toothpaste 200g,Personal Care,22,9,5,2485,0,0,5,2485
14541,9541,1001,12541,2090,Damaged Item,08:03.4,260,Processed,Amul Butter 500g,Dairy,27,90,4,1091,0,0,4,1091
8057,3057,1024,6057,2073,Damaged Item,37:03.4,675,Processed,Bournvita 500g,Beverages,29,73,7,2970,0,0,7,2970
16855,11855,1030,14855,2006,Damaged Item,46:03.4,875,Processed,Johnson's Baby Powder 400g,Personal Care,22,6,7,2491,0,0,7,2491
8247,3247,1025,6247,2007,Damaged Item,58:03.4,45,Processed,Dove Soap 125g,Personal Care,21,7,5,1545,0,0,5,1545
13269,8269,1000,11269,2087,Stale Product,58:03.4,360,Processed,Amul Taaza Milk 1L,Dairy,29,87,6,1715,0,0,6,1715
11020,6020,1001,9020,2099,Damaged Item,31:03.4,1300,Processed,Amul Butter 500g,Dairy,27,99,1,950,0,0,1,950
15012,10012,1017,13012,2040,Damaged Item,42:03.4,240,Processed,Tata Tea Premium 500g,Beverages,12,40,4,900,0,0,4,900
11628,6628,1000,9628,2053,Stale Product,40:03.4,72,Processed,Amul Taaza Milk 1L,Dairy,29,53,7,3841,0,0,7,3841
14068,9068,1006,12068,2050,Damaged Item,44:03.4,70,Processed,Maggi Noodles 70g,Snacks,21,50,4,1910,0,0,4,1910
15882,10882,1029,13882,2023,Stale Product,34:03.4,385,Processed,Horlicks Classic Malt 1kg,Beverages,20,23,6,2165,0,0,6,2165
10623,5623,1040,8623,2013,Damaged Item,26:03.4,160,Processed,Sensodyne Toothpaste 100g,Personal Care,23,13,9,6727,0,0,9,6727
17233,12233,1024,15233,2054,Damaged Item,01:03.4,675,Processed,Bournvita 500g,Beverages,29,54,3,1865,0,0,3,1865
9566,4566,1028,7566,2083,Stale Product,57:03.4,450,Processed,Catch Black Pepper 100g,Grocery,12,83,6,1740,0,0,6,1740
14733,9733,1022,12733,2061,Damaged Item,32:03.4,480,Processed,Fortune Sunflower Oil 1L,Grocery,20,61,7,4815,0,0,7,4815
13143,8143,1000,11143,2021,Stale Product,26:03.4,216,Processed,Amul Taaza Milk 1L,Dairy,29,21,6,1647,0,0,6,1647
10915,5915,1004,8915,2085,Stale Product,43:03.4,84,Processed,Tata Salt 1kg,Grocery,19,85,7,4247,0,0,7,4247
11343,6343,1015,9343,2003,Damaged Item,45:03.4,575,Processed,Colgate Toothpaste 200g,Personal Care,22,3,6,2062,0,0,6,2062
8213,3213,1015,6213,2087,Damaged Item,03:03.4,460,Processed,Colgate Toothpaste 200g,Personal Care,22,87,6,1715,0,0,6,1715
11639,6639,1027,9639,2044,Stale Product,15:03.4,297,Processed,Real Mixed Fruit Juice 1L,Beverages,21,44,3,1977,0,0,3,1977
9045,4045,1045,7045,2020,Damaged Item,54:03.4,320,Processed,Parle-G Biscuits 800g,Snacks,17,20,5,1194,0,0,5,1194
